"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Argentina","estimate","2012","UNAIDS_GARPR_","Number","72000",""
"Armenia","estimate","2012","UNAIDS_GARPR_","Number","6200",""
"Australia","estimate","2012","UNAIDS_GARPR_","Number","25000",""
"Azerbaijan","estimate","2012","UNAIDS_GARPR_","Number","25054",""
"Bangladesh","lower estimate","2012","UNAIDS_GARPR_","Number","63600",""
"Bangladesh","upper estimate","2012","UNAIDS_GARPR_","Number","74300",""
"Belarus","estimate","2012","UNAIDS_GARPR_","Number","50000",""
"Belize","lower estimate","2012","UNAIDS_GARPR_","Number","346",""
"Belize","upper estimate","2012","UNAIDS_GARPR_","Number","595",""
"Benin","estimate","2012","UNAIDS_GARPR_","Number","12789",""
"Brazil","estimate","2012","UNAIDS_GARPR_","Number","1399305",""
"Cape Verde","estimate","2012","UNAIDS_GARPR_","Number","1096",""
"Chad","estimate","2012","UNAIDS_GARPR_","Number","1171",""
"Comoros","estimate","2012","UNAIDS_GARPR_","Number","200",""
"Djibouti","estimate","2012","UNAIDS_GARPR_","Number","2865",""
"Egypt","estimate","2012","UNAIDS_GARPR_","Number","24000",""
"El Salvador","estimate","2012","UNAIDS_GARPR_","Number","13292",""
"Equatorial Guinea","estimate","2012","UNAIDS_GARPR_","Number","5791",""
"Fiji","estimate","2012","UNAIDS_GARPR_","Number","857",""
"Gambia","estimate","2012","UNAIDS_GARPR_","Number","3100",""
"Ghana","estimate","2012","UNAIDS_GARPR_","Number","51937",""
"Guatemala","estimate","2012","UNAIDS_GARPR_","Number","21845",""
"Guinea","estimate","2012","UNAIDS_GARPR_","Number","4796",""
"Guinea-Bissau","estimate","2012","UNAIDS_GARPR_","Number","3138",""
"Jamaica","estimate","2012","UNAIDS_GARPR_","Number","14957",""
"Kazakhstan","estimate","2012","UNAIDS_GARPR_","Number","20270",""
"Kenya","estimate","2012","UNAIDS_GARPR_","Number","133675",""
"Kenya","lower estimate","2012","UNAIDS_GARPR_","Number","76654",""
"Kenya","upper estimate","2012","UNAIDS_GARPR_","Number","208711",""
"Kyrgyzstan","lower estimate","2012","UNAIDS_GARPR_","Number","5900",""
"Kyrgyzstan","upper estimate","2012","UNAIDS_GARPR_","Number","8100",""
"Liberia","estimate","2012","UNAIDS_GARPR_","Number","1822",""
"Madagascar","estimate","2012","UNAIDS_GARPR_","Number","62442",""
"Malaysia","estimate","2012","UNAIDS_GARPR_","Number","60000",""
"Mauritania","estimate","2012","UNAIDS_GARPR_","Number","210",""
"Mauritius","estimate","2012","UNAIDS_GARPR_","Number","9000",""
"Mongolia","estimate","2012","UNAIDS_GARPR_","Number","19000",""
"Morocco","estimate","2012","UNAIDS_GARPR_","Number","66000",""
"Myanmar","estimate","2012","UNAIDS_GARPR_","Number","43432",""
"Nepal","estimate","2012","UNAIDS_GARPR_","Number","26878","1"
"Nicaragua","estimate","2012","UNAIDS_GARPR_","Number","11543",""
"Niger","estimate","2012","UNAIDS_GARPR_","Number","27471",""
"Nigeria","estimate","2012","UNAIDS_GARPR_","Number","459887",""
"Pakistan","estimate","2012","UNAIDS_GARPR_","Number","136000","1"
"Panama","lower estimate","2012","UNAIDS_GARPR_","Number","5000",""
"Panama","upper estimate","2012","UNAIDS_GARPR_","Number","10000",""
"Paraguay","estimate","2012","UNAIDS_GARPR_","Number","1252",""
"Peru","estimate","2012","UNAIDS_GARPR_","Number","35560",""
"Republic of Moldova","estimate","2012","UNAIDS_GARPR_","Number","14768","2"
"Rwanda","estimate","2012","UNAIDS_GARPR_","Number","12278",""
"Senegal","estimate","2012","UNAIDS_GARPR_","Number","4200",""
"Serbia","estimate","2012","UNAIDS_GARPR_","Number","3901",""
"Sri Lanka","estimate","2012","UNAIDS_GARPR_","Number","41000",""
"Tajikistan","estimate","2012","UNAIDS_GARPR_","Number","12500",""
"Thailand","estimate","2012","UNAIDS_GARPR_","Number","123530",""
"Togo","estimate","2012","UNAIDS_GARPR_","Number","8000",""
"Tunisia","estimate","2012","UNAIDS_GARPR_","Number","25000",""
"Viet Nam","estimate","2012","UNAIDS_GARPR_","Number","65166",""

"fnSeqID","Footnote"
"1","Female Sex Workers"
"2","Right bank 12359; Left bank 2409"
